,views
2017-10-26,306.095478
2017-10-27,292.647205
2017-10-28,280.981203
2017-10-29,298.809018
2017-10-30,310.058854
2017-10-31,299.885209
2017-11-01,302.67917
2017-11-02,317.271538
2017-11-03,293.349721
2017-11-04,286.736767
2017-11-05,308.346539
2017-11-06,316.772993
2017-11-07,315.036162
2017-11-08,316.660831
2017-11-09,314.554353
2017-11-10,290.989184
2017-11-11,286.684524
2017-11-12,303.166707
2017-11-13,318.54754
2017-11-14,311.702382
2017-11-15,307.702139
2017-11-16,307.196334
2017-11-17,288.657696
2017-11-18,286.13364
2017-11-19,303.793246
2017-11-20,322.258319
2017-11-21,308.175733
2017-11-22,304.169591
2017-11-23,288.811513
2017-11-24,280.125634
2017-11-25,287.261736
2017-11-26,309.83562
2017-11-27,327.873477
2017-11-28,317.281495
2017-11-29,311.010091
2017-11-30,305.6188
2017-12-01,299.009843
2017-12-02,284.413689
2017-12-03,300.552426
2017-12-04,322.83543
2017-12-05,326.917154
2017-12-06,313.805461
2017-12-07,319.139701
2017-12-08,303.621912
2017-12-09,292.81246
2017-12-10,308.208572
2017-12-11,321.674009
2017-12-12,310.462489
2017-12-13,306.745755
2017-12-14,300.18737
2017-12-15,286.830282
2017-12-16,280.843025
2017-12-17,294.029292
2017-12-18,308.877711
2017-12-19,290.817648
2017-12-20,284.66354
2017-12-21,283.311446
2017-12-22,270.616379
2017-12-23,270.77392
2017-12-24,271.574693
2017-12-25,274.651388
2017-12-26,293.377305
2017-12-27,304.353445
2017-12-28,312.08367
2017-12-29,300.196639
2017-12-30,294.250079
2017-12-31,287.93791
2018-01-01,302.82833
2018-01-02,319.485738
2018-01-03,322.019675
2018-01-04,314.645741
2018-01-05,310.155899
2018-01-06,316.702185
2018-01-07,324.18675
2018-01-08,335.431026
2018-01-09,321.991203
2018-01-10,318.603157
2018-01-11,327.306183
2018-01-12,308.518899
2018-01-13,314.518803
2018-01-14,341.467997
2018-01-15,346.801956
2018-01-16,332.404256
2018-01-17,329.626172
2018-01-18,346.227443
2018-01-19,316.299327
2018-01-20,303.292818
2018-01-21,326.682372
2018-01-22,341.515484
2018-01-23,329.910617
2018-01-24,321.322164
2018-01-25,316.707019
2018-01-26,310.96488
2018-01-27,308.760934
2018-01-28,325.955174
2018-01-29,337.205984
2018-01-30,323.091074
2018-01-31,320.642885
2018-02-01,312.643557
2018-02-02,303.181377
2018-02-03,303.051044
2018-02-04,326.780028
2018-02-05,337.460883
2018-02-06,320.093643
2018-02-07,316.192208
2018-02-08,318.587141
2018-02-09,311.243801
2018-02-10,303.165868
2018-02-11,318.919775
2018-02-12,330.482574
2018-02-13,318.445405
2018-02-14,309.269954
2018-02-15,307.384594
2018-02-16,308.753553
2018-02-17,315.352215
2018-02-18,336.919919
2018-02-19,340.432452
2018-02-20,325.887866
2018-02-21,331.532037
2018-02-22,335.397735
2018-02-23,322.847083
2018-02-24,312.668576
2018-02-25,340.574594
2018-02-26,354.301601
2018-02-27,340.134463
2018-02-28,319.945935
2018-03-01,318.175725
2018-03-02,307.814339
2018-03-03,301.870813
2018-03-04,335.452295
2018-03-05,341.831429
2018-03-06,315.08751
2018-03-07,313.130565
2018-03-08,310.028113
2018-03-09,289.859166
2018-03-10,278.290649
2018-03-11,302.140207
2018-03-12,314.449106
2018-03-13,300.380973
2018-03-14,311.480543
2018-03-15,301.904526
2018-03-16,286.430007
2018-03-17,278.987674
2018-03-18,298.993282
2018-03-19,308.390176
2018-03-20,294.762447
2018-03-21,295.705015
2018-03-22,294.156473
2018-03-23,283.407906
2018-03-24,277.636125
2018-03-25,290.927648
2018-03-26,305.7174
2018-03-27,296.904147
2018-03-28,288.847105
2018-03-29,283.686209
2018-03-30,282.535832
2018-03-31,274.449811
2018-04-01,290.235106
2018-04-02,311.226037
2018-04-03,303.916252
2018-04-04,298.591311
2018-04-05,287.63031
2018-04-06,284.97775
2018-04-07,283.240634
2018-04-08,304.942114
2018-04-09,318.569836
2018-04-10,307.443314
2018-04-11,308.225636
2018-04-12,316.179856
2018-04-13,301.407702
2018-04-14,284.050367
2018-04-15,318.006849
2018-04-16,325.94103
2018-04-17,302.461259
2018-04-18,300.851394
2018-04-19,293.498562
